,url,title,author,date,content
0,https://www.ptt.cc/bbs/Stock/M.1724824512.A.EB6.html,[標的] 長榮2603 重新上船開！更快多,yongchen (explosive disorder),Wed Aug 28 13:55:10 2024,"
1. 標的：2603長榮

2. 分類：多

3. 分析/正文：

哲哲 前幾週已經提醒貨櫃股底部過去了
不再看空

最近終於湊到錢..
我跟家人月初借了四百萬
這個月長榮低點也進場了

 長榮期貨近四百萬部位

長榮今年怎麼看都能賺到eps55-60eps起

股價怎麼看都不可能在低於淨值

股價往淨值剛好
未來再繼續往淨值2倍買進剛剛好


這次就不貼單了
以免被盜用！

Ps.大家可以參考今年00940 四月一日上市後 長榮海運後來 漲多高喔

現在00960也要上市
可以先找買點卡位
等上市後 長榮股價拉抬上去 送分題

4.進退場機制：拉回10日線買

停損不可能！

年底500塊在停利 淨值比2倍多

--
"
1,https://www.ptt.cc/bbs/Stock/M.1724824802.A.393.html,[閒聊] 2024/08/28 盤後閒聊,vendan5566 (阿文),Wed Aug 28 14:00:00 2024,"
"
2,https://www.ptt.cc/bbs/Stock/M.1724825491.A.3AA.html,[新聞] 彰銀：無公公併規劃 房貸餘額近警戒水位,ChanHoPark (公園先生),Wed Aug 28 14:11:28 2024,"
原文標題：彰銀：無公公併規劃 房貸餘額近警戒水位撥款排隊時間長

"
3,https://www.ptt.cc/bbs/Stock/M.1724825608.A.696.html,[情報] 2515 中工 檢調單位進行調查及約談,qazsedcft (離開是),Wed Aug 28 14:13:26 2024,"

標題：113年8月28日檢調單位至本公司進行調查事宜。

來源：臺灣證券交易所
網址："
4,https://www.ptt.cc/bbs/Stock/M.1724825944.A.39B.html,[情報] 1314 中石化 京華城案搜索調查,qazsedcft (離開是),Wed Aug 28 14:18:59 2024,"
標題：113/08/28檢調單位至本公司進行搜索調查事宜。
來源：臺灣證券交易所
網址："
5,https://www.ptt.cc/bbs/Stock/M.1724826809.A.A06.html,Re: [新聞] Nvidia覇主地位危矣？這些挑戰者做出便,pponywong (pony),Wed Aug 28 14:33:23 2024,"
"
6,https://www.ptt.cc/bbs/Stock/M.1724827492.A.2F3.html,[情報] 4420 光明 取得台積電普通股股票達實收,qazsedcft (離開是),Wed Aug 28 14:44:50 2024,"

標題：

本公司取得台灣積體電路製造(股)公司
普通股股票達實收資本額百分之二十

來源：公開資訊觀測站

網址："
7,https://www.ptt.cc/bbs/Stock/M.1724827853.A.AB8.html,[情報] 0828 上市投信買賣超排行,paidzou (),Wed Aug 28 14:50:51 2024,"
1. 標題：0828 上市投信買賣超排行

2. 來源：TWSE

3. 網址："
8,https://www.ptt.cc/bbs/Stock/M.1724827861.A.CC4.html,[情報] 2330台積電 調整113年第一季每股現金股利,MOMO0478 (沒死),Wed Aug 28 14:50:59 2024,"

1.董事會或股東會決議日期:NA
2.原發放股利種類及金額:
盈餘分派現金股利新台幣103,734,516,968元，每股配發新台幣4.00元。
3.變更後發放股利種類及金額:
盈餘分派現金股利新台幣103,734,516,968元，每股配發新台幣4.00013820元。
4.變更原因:
每股現金股利金額之細微變動係由於在董事會決議股利分派至配息基準日間，
本公司買回庫藏股，另發行113年限制員工權利新股，因此本公司流通在外之
股數變化所致。
5.其他應敘明事項:
依據本公司113/5/10董事會決議，授權董事長調整每股現金股利金額。


資料來源:"
9,https://www.ptt.cc/bbs/Stock/M.1724828218.A.0A8.html,Re: [新聞] 台灣GDP超越南韓！百萬富豪將增近5成,LaBronJames (King LA Bron James),Wed Aug 28 14:56:56 2024,"
"
10,https://www.ptt.cc/bbs/Stock/M.1719872231.A.9BA.html,[公告] 股票板板規 v4.6 (2024/07/02 修正),rayccccc (阿夸哈私奔),Tue Jul  2 06:17:08 2024,"
"
11,https://www.ptt.cc/bbs/Stock/M.1724824802.A.393.html,[閒聊] 2024/08/28 盤後閒聊,vendan5566 (阿文),Wed Aug 28 14:00:00 2024,"
"
